timestamp,faulty,band_0,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25,band_26,band_27,band_28,band_29,band_30,band_31
0,True,-22.20415,-33.065838,-34.066917,-36.255196,-39.853966,-41.12745,-42.06615,-44.402557,-41.72168,-43.90361,-47.590374,-45.533333,-50.927807,-47.15362,-45.5258,-46.985622,-45.455276,-47.072735,-49.344147,-48.778122,-54.434547,-52.698956,-53.790497,-52.4608,-51.071354,-53.96185,-58.576717,-60.642815,-60.943275,-61.3224,-64.96036,-64.8888
32,True,-20.41911,-32.16678,-33.21225,-33.16554,-37.138874,-36.4747,-37.626293,-39.499084,-41.66662,-44.43589,-40.65351,-43.57489,-43.86647,-42.94006,-43.32643,-43.06786,-43.62047,-46.004795,-49.689995,-51.132965,-48.59432,-50.778538,-53.320545,-49.28607,-48.876225,-52.34102,-55.702496,-56.940956,-59.897556,-61.316563,-64.53665,-65.97658
64,True,-20.15505,-26.268982,-30.722258,-28.384163,-34.01143,-33.872227,-36.787117,-39.464935,-39.131798,-41.718563,-42.246136,-41.75924,-44.05732,-44.210243,-40.25444,-39.221844,-40.502396,-46.86058,-50.189423,-50.071632,-49.20303,-47.79212,-50.92212,-52.05623,-51.026314,-53.943962,-52.097416,-53.449764,-54.353413,-52.480618,-54.3502,-58.292282
96,True,-21.5384,-25.459528,-33.437996,-30.058012,-33.49024,-31.069656,-37.592102,-42.17983,-43.31057,-45.752823,-37.975163,-41.417233,-47.032516,-44.16347,-42.108704,-44.0077,-43.772766,-45.06105,-49.076996,-49.41549,-51.077118,-49.69815,-50.545,-49.1317,-49.911095,-53.069744,-54.51763,-57.180058,-58.375782,-59.284283,-60.23419,-63.79361
128,True,-23.477861,-27.264168,-29.933964,-34.18175,-36.781364,-34.492725,-33.28046,-37.02208,-37.456364,-40.42214,-39.19885,-42.352524,-44.827484,-42.44464,-42.436554,-46.01482,-43.3604,-44.747463,-51.717575,-49.529263,-48.59293,-48.151505,-51.654545,-52.049847,-50.55439,-53.884052,-54.811348,-59.824265,-61.126305,-62.664413,-64.03714,-67.64515
160,True,-20.121496,-28.357924,-34.653366,-37.88752,-35.756077,-37.579006,-36.544,-37.800545,-38.466988,-43.257824,-40.22638,-42.623734,-50.08198,-45.161858,-43.792477,-44.16478,-43.692673,-46.5245,-48.97745,-50.16634,-50.88325,-50.78843,-52.9476,-53.40119,-51.816605,-53.918835,-55.043373,-58.546375,-62.591797,-64.49087,-65.87764,-67.645004
192,True,-18.902271,-26.897362,-31.143198,-34.22978,-36.363243,-33.7789,-36.556572,-39.732197,-37.651287,-39.452747,-41.258743,-43.054733,-43.563885,-40.544033,-40.208977,-44.657196,-43.625572,-44.270836,-50.750824,-51.52442,-50.62394,-51.86771,-51.099224,-51.798424,-51.100918,-53.96528,-53.746677,-59.242634,-60.590088,-63.82153,-66.61477,-69.54729
224,True,-18.523014,-26.471567,-34.86392,-35.75375,-32.007427,-31.567635,-35.972916,-36.994907,-45.453907,-43.081543,-41.99572,-45.630535,-44.66349,-43.707016,-42.933388,-42.927475,-44.267532,-47.85977,-48.948,-50.449013,-51.12309,-51.482613,-50.1353,-50.6607,-52.42745,-54.232655,-56.257668,-59.32994,-61.381496,-64.110275,-67.23784,-68.2617
256,True,-24.014433,-28.661007,-32.50518,-32.35046,-38.805412,-39.216072,-38.498444,-40.137577,-42.14134,-41.981598,-42.39411,-42.491653,-44.545746,-40.001617,-41.6498,-44.581802,-45.063583,-46.605156,-50.549637,-51.418358,-48.653458,-52.582603,-50.80417,-50.989662,-49.975796,-55.10324,-56.53511,-61.322014,-62.098946,-63.25931,-67.56554,-68.602684
288,True,-22.420418,-29.801128,-33.0292,-31.891716,-36.12937,-38.41448,-35.453022,-35.751415,-43.34215,-42.491226,-41.8013,-42.05828,-43.48841,-44.990543,-43.31019,-46.853867,-46.23633,-47.368828,-49.05036,-50.30178,-50.980476,-51.155426,-49.01125,-49.61027,-51.22648,-53.4681,-54.490936,-58.866302,-61.865646,-65.3111,-65.72547,-68.08289
