timestamp,signal,value,label,true_ttf
200,heap_free,8112,normal,
200,heap_used,0,normal,
200,loop_latency,0,normal,
301,heap_free,8112,normal,
301,heap_used,0,normal,
301,loop_latency,0,normal,
401,heap_free,8112,normal,
401,heap_used,0,normal,
402,loop_latency,1,normal,
502,heap_free,8112,normal,
502,heap_used,0,normal,
502,loop_latency,0,normal,
603,heap_free,8112,normal,
603,heap_used,0,normal,
603,loop_latency,0,normal,
703,heap_free,8112,normal,
703,heap_used,0,normal,
703,loop_latency,0,normal,
804,heap_free,8112,normal,
804,heap_used,0,normal,
804,loop_latency,0,normal,
904,heap_free,8112,normal,
904,heap_used,0,normal,
905,loop_latency,1,normal,
1005,heap_free,8112,normal,
1005,heap_used,0,normal,
1005,loop_latency,0,normal,
1106,heap_free,8112,normal,
1106,heap_used,0,normal,
1106,loop_latency,0,normal,
1206,heap_free,8112,normal,
1206,heap_used,0,normal,
1206,loop_latency,0,normal,
1307,heap_free,8112,normal,
1307,heap_used,0,normal,
1307,loop_latency,0,normal,
1407,heap_free,8112,normal,
1407,heap_used,0,normal,
1408,loop_latency,1,normal,
1508,heap_free,8112,normal,
1508,heap_used,0,normal,
1508,loop_latency,0,normal,
1609,heap_free,8112,normal,
1609,heap_used,0,normal,
1609,loop_latency,0,normal,
1709,heap_free,8112,normal,
1709,heap_used,0,normal,
1709,loop_latency,0,normal,
1810,heap_free,8112,normal,
1810,heap_used,0,normal,
1810,loop_latency,0,normal,
1910,heap_free,8112,normal,
1910,heap_used,0,normal,
1911,loop_latency,1,normal,
2011,heap_free,7976,faulty,6.231
2011,heap_used,136,faulty,
2011,loop_latency,0,faulty,
2112,heap_free,7840,faulty,6.125
2112,heap_used,272,faulty,
2112,loop_latency,0,faulty,
2212,heap_free,7704,faulty,6.019
2212,heap_used,408,faulty,
2212,loop_latency,0,faulty,
2313,heap_free,7568,faulty,5.912
2313,heap_used,544,faulty,
2313,loop_latency,0,faulty,
2413,heap_free,7432,faulty,5.806
2413,heap_used,680,faulty,
2414,loop_latency,1,faulty,
2514,heap_free,7296,faulty,5.7
2514,heap_used,816,faulty,
2514,loop_latency,0,faulty,
2615,heap_free,7160,faulty,5.594
2615,heap_used,952,faulty,
2615,loop_latency,0,faulty,
2715,heap_free,7024,faulty,5.487
2715,heap_used,1088,faulty,
2715,loop_latency,0,faulty,
2816,heap_free,6888,faulty,5.381
2816,heap_used,1224,faulty,
2816,loop_latency,0,faulty,
2916,heap_free,6752,faulty,5.275
2916,heap_used,1360,faulty,
2917,loop_latency,1,faulty,
3017,heap_free,6616,faulty,5.169
3017,heap_used,1496,faulty,
3017,loop_latency,0,faulty,
3118,heap_free,6480,faulty,5.062
3118,heap_used,1632,faulty,
3118,loop_latency,0,faulty,
3218,heap_free,6344,faulty,4.956
3218,heap_used,1768,faulty,
3218,loop_latency,0,faulty,
3319,heap_free,6208,faulty,4.85
3319,heap_used,1904,faulty,
3319,loop_latency,0,faulty,
3419,heap_free,6072,faulty,4.744
3419,heap_used,2040,faulty,
3420,loop_latency,1,faulty,
3520,heap_free,5936,faulty,4.638
3520,heap_used,2176,faulty,
3520,loop_latency,0,faulty,
3621,heap_free,5800,faulty,4.531
3621,heap_used,2312,faulty,
3621,loop_latency,0,faulty,
3721,heap_free,5664,faulty,4.425
3721,heap_used,2448,faulty,
3722,loop_latency,0,faulty,
3822,heap_free,5528,faulty,4.319
3822,heap_used,2584,faulty,
3822,loop_latency,0,faulty,
3922,heap_free,5392,faulty,4.213
3923,heap_used,2720,faulty,
3923,loop_latency,1,faulty,
4023,heap_free,5256,faulty,4.106
4023,heap_used,2856,faulty,
4023,loop_latency,0,faulty,
4124,heap_free,5120,faulty,4.0
4124,heap_used,2992,faulty,
4124,loop_latency,0,faulty,
4224,heap_free,4984,faulty,3.894
4224,heap_used,3128,faulty,
4225,loop_latency,0,faulty,
4325,heap_free,4848,faulty,3.788
