timestamp,faulty,band_0,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25,band_26,band_27,band_28,band_29,band_30,band_31
0,False,-32.630955,-28.552696,-34.42867,-33.90507,-46.532307,-44.448833,-42.07233,-24.787975,-25.707438,-36.848648,-41.802906,-39.872166,-39.98833,-44.39599,-43.932167,-43.73234,-43.92406,-51.058193,-50.814476,-53.718414,-54.037216,-54.737774,-54.65464,-53.44418,-52.298035,-54.950962,-55.797928,-57.0933,-52.406048,-55.00985,-57.862083,-57.70731
32,False,-25.601982,-23.2583,-31.507967,-28.819736,-40.716972,-41.40308,-42.393017,-26.117645,-27.889267,-45.593338,-46.432663,-42.629387,-39.96913,-44.714714,-43.185253,-43.147408,-46.15324,-49.121315,-51.139435,-52.00069,-50.36355,-54.29142,-56.801857,-54.156113,-52.017555,-52.921185,-54.56163,-56.000347,-54.118725,-55.7069,-57.72988,-58.11405
64,False,-26.508818,-24.429873,-29.170982,-28.133268,-38.85384,-39.54907,-43.338913,-25.110855,-27.262323,-44.126694,-42.677876,-40.529907,-38.54567,-46.079998,-46.96615,-47.379383,-47.948997,-51.099243,-52.694603,-52.781433,-51.73035,-53.494865,-54.391586,-53.61892,-51.86649,-54.17532,-54.664352,-55.331074,-55.54819,-57.246918,-58.378178,-58.303307
96,False,-26.117907,-26.253136,-31.539566,-32.10145,-41.61019,-41.74583,-43.464134,-26.390112,-28.708906,-40.89553,-44.882607,-42.1289,-40.12947,-47.0448,-43.56111,-43.8034,-44.619694,-52.159134,-54.40193,-52.465294,-51.769905,-52.89539,-54.48472,-54.04151,-54.351597,-55.165806,-55.832214,-57.974686,-59.335747,-58.392963,-56.441856,-58.843765
128,False,-27.913744,-24.649902,-31.930496,-30.727243,-39.118717,-43.492817,-44.011627,-28.02488,-29.764915,-39.499126,-39.262928,-38.815395,-37.562798,-45.24258,-45.302597,-47.123634,-48.417603,-52.970577,-52.41335,-53.220383,-53.777046,-54.519196,-56.307846,-53.977577,-52.77759,-57.473263,-54.90058,-55.944313,-58.074856,-58.64634,-59.46409,-58.347214
160,False,-27.496544,-27.915531,-31.549177,-32.596992,-37.729946,-39.947437,-45.94782,-32.0416,-33.877945,-39.815556,-45.041298,-44.552784,-41.893883,-45.75762,-48.050926,-48.525425,-46.514988,-50.61861,-52.60084,-52.65693,-52.9523,-54.916695,-56.37401,-55.319096,-53.89671,-55.191692,-55.021957,-57.117096,-59.285225,-58.511448,-59.40258,-59.353264
192,False,-26.593647,-23.323502,-31.477966,-31.20728,-44.712105,-45.552925,-39.58357,-30.867191,-33.13783,-38.028694,-47.65335,-45.143093,-41.648273,-45.581726,-51.39208,-47.731728,-45.463924,-50.92468,-52.89154,-54.496323,-54.831882,-55.77318,-57.519455,-57.289635,-53.287598,-54.550457,-55.182453,-59.162727,-59.45424,-59.387978,-60.524734,-61.42399
224,False,-25.509588,-25.83266,-33.204758,-33.62805,-39.29129,-43.071766,-42.188736,-26.45809,-28.713306,-36.246227,-40.979553,-45.827423,-41.909584,-42.794243,-45.8712,-47.776672,-44.997597,-51.00323,-53.6849,-51.222187,-52.86562,-54.055748,-56.250515,-56.900024,-53.445816,-54.928974,-55.272526,-57.04795,-60.221817,-56.9684,-57.78176,-59.60127
256,False,-28.549007,-26.584179,-31.35441,-30.706676,-35.075085,-42.566505,-42.167126,-28.48852,-32.442005,-38.425755,-39.340027,-46.472317,-44.372612,-44.293484,-43.779785,-45.667667,-46.062054,-52.44041,-52.66169,-53.00898,-55.93809,-54.197243,-56.594013,-56.59703,-52.04372,-55.702824,-56.708164,-57.389187,-60.1455,-58.305176,-58.59791,-58.127724
288,False,-25.6756,-22.964384,-32.5751,-32.673973,-39.802746,-39.056683,-42.677162,-36.928608,-37.880325,-39.29837,-47.200134,-42.70633,-40.688103,-44.112785,-44.771782,-46.14936,-45.303146,-52.976566,-54.742046,-53.519783,-54.564014,-55.33078,-54.67436,-55.790066,-56.072613,-57.31174,-55.5055,-56.933525,-58.90187,-58.513023,-59.446102,-58.924034
320,False,-25.744614,-24.989511,-31.974407,-35.1945,-39.692932,-42.134064,-40.995018,-29.106209,-32.021328,-43.701843,-43.838806,-47.067677,-43.10238,-49.005657,-46.762222,-47.919384,-47.13962,-50.234913,-53.11994,-52.287468,-55.89371,-57.456326,-58.248993,-56.363163,-53.55671,-56.27127,-56.035976,-58.638035,-58.7974,-58.444294,-58.471725,-58.22523
352,False,-29.595098,-26.9452,-30.68862,-28.83762,-32.45704,-36.55256,-33.880154,-27.727615,-29.774231,-39.571804,-37.18216,-32.99276,-31.63498,-36.555885,-35.18464,-32.32998,-35.69091,-41.304474,-45.78796,-51.62728,-48.72867,-50.205772,-51.07386,-51.040405,-54.296654,-54.46273,-55.573746,-57.24102,-56.35372,-57.579674,-57.60589,-58.272724
384,False,-26.608978,-24.28526,-33.2462,-30.023672,-29.584284,-29.10182,-34.22519,-24.723661,-26.722263,-36.691334,-30.986374,-32.158657,-31.434624,-31.98181,-35.620937,-30.82546,-35.70703,-41.578327,-42.324924,-47.137264,-46.430878,-47.83998,-50.119637,-52.089638,-52.935272,-53.714977,-54.832092,-56.94776,-56.558968,-57.6295,-58.668446,-59.681442
416,False,-25.566425,-25.58263,-31.077192,-29.557135,-32.452423,-33.53131,-37.77137,-27.454317,-30.456944,-40.804306,-37.881145,-40.766037,-38.23027,-38.23893,-42.662884,-41.92349,-43.913273,-49.401417,-53.113476,-55.533524,-55.10754,-52.972984,-55.62012,-57.208256,-55.610065,-56.399654,-57.650665,-58.900295,-60.10811,-59.36276,-60.790764,-60.20411
448,False,-27.71156,-26.348244,-30.78973,-30.845243,-35.432915,-38.65342,-40.227703,-31.77633,-35.383724,-43.011948,-40.906654,-41.88479,-42.17482,-41.59454,-44.332924,-45.015854,-44.509193,-52.05384,-52.26692,-51.816025,-52.968616,-54.533882,-54.394054,-56.63318,-53.24574,-56.752777,-55.795662,-58.275894,-59.22799,-58.80565,-58.534622,-59.466515
480,False,-26.830885,-26.38939,-31.506626,-35.450687,-41.321983,-41.437286,-40.133514,-27.43274,-31.312464,-41.46145,-41.799522,-43.734264,-44.411545,-44.853508,-43.5837,-44.351955,-52.024616,-52.64937,-52.078995,-53.544315,-53.8506,-53.916172,-57.088207,-55.259506,-51.139027,-54.9184,-56.019264,-58.754356,-59.363487,-58.295258,-58.772694,-59.89725
512,False,-24.95232,-24.65966,-29.231556,-28.461842,-38.438114,-41.585693,-41.654068,-34.87385,-39.328228,-44.72572,-41.137394,-44.308372,-41.435463,-46.6234,-49.007545,-50.158447,-50.578953,-50.694347,-54.239063,-51.705757,-53.05517,-55.60787,-56.483654,-54.030437,-50.086597,-54.536507,-56.462738,-58.43939,-59.684963,-58.11527,-58.12529,-58.390266
